anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl,,¿¬¿ù,Æò±Õ,¿¬µµ,Æò±Õ2
20190402,1,11749,µ¿ÇØ±Í¿î,43,,,,,
20190403,1,11749,µ¿ÇØ±Í¿î,41,,,,,
20190404,1,11749,µ¿ÇØ±Í¿î,40,,,,,
20190405,1,11749,µ¿ÇØ±Í¿î,38,,,,,
20190406,1,11749,µ¿ÇØ±Í¿î,35,,,,,
20190407,1,11749,µ¿ÇØ±Í¿î,34,,,,,
20190408,1,11749,µ¿ÇØ±Í¿î,33,,,,,
20190409,1,11749,µ¿ÇØ±Í¿î,31,,,,,
20190410,1,11749,µ¿ÇØ±Í¿î,30,,,,,
20190411,0,11749,µ¿ÇØ±Í¿î,60,,,,,
20190412,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190413,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190414,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190415,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190416,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190417,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190418,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190419,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190420,0,11749,µ¿ÇØ±Í¿î,75,,,,,
20190421,0,11749,µ¿ÇØ±Í¿î,75,,,,,
20190422,0,11749,µ¿ÇØ±Í¿î,74,,,,,
20190423,0,11749,µ¿ÇØ±Í¿î,74,,,,,
20190424,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20190425,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190426,0,11749,µ¿ÇØ±Í¿î,72,,,,,
20190427,0,11749,µ¿ÇØ±Í¿î,79,,,,,
20190428,0,11749,µ¿ÇØ±Í¿î,80,,,,,
20190429,0,11749,µ¿ÇØ±Í¿î,78,,,,,
20190430,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190501,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190502,0,11749,µ¿ÇØ±Í¿î,80,,,,,
20190503,0,11749,µ¿ÇØ±Í¿î,79,,,,,
20190504,0,11749,µ¿ÇØ±Í¿î,79,,,,,
20190505,0,11749,µ¿ÇØ±Í¿î,78,,,,,
20190506,0,11749,µ¿ÇØ±Í¿î,77,,,,,
20190507,0,11749,µ¿ÇØ±Í¿î,76,,,,,
20190508,0,11749,µ¿ÇØ±Í¿î,74,,,,,
20190509,0,11749,µ¿ÇØ±Í¿î,73,,,,,
20190510,0,11749,µ¿ÇØ±Í¿î,70,,,,,
20190511,0,11749,µ¿ÇØ±Í¿î,67,,,,,
20190512,0,11749,µ¿ÇØ±Í¿î,64,,,,,
20190513,0,11749,µ¿ÇØ±Í¿î,61,,,,,
20190514,0,11749,µ¿ÇØ±Í¿î,60,,,,,
20190515,0,11749,µ¿ÇØ±Í¿î,58,,,,,
20190516,0,11749,µ¿ÇØ±Í¿î,54,,,,,
20190517,0,11749,µ¿ÇØ±Í¿î,50,,,,,
20190518,1,11749,µ¿ÇØ±Í¿î,47,,,,,
20190519,1,11749,µ¿ÇØ±Í¿î,48,,,,,
20190520,1,11749,µ¿ÇØ±Í¿î,47,,,,,
20190521,1,11749,µ¿ÇØ±Í¿î,46,,,,,
20190522,1,11749,µ¿ÇØ±Í¿î,45,,,,,
20190523,1,11749,µ¿ÇØ±Í¿î,40,,,,,
20190524,1,11749,µ¿ÇØ±Í¿î,38,,,,,
20190525,1,11749,µ¿ÇØ±Í¿î,35,,,,,
20190526,1,11749,µ¿ÇØ±Í¿î,31,,,,,
20190527,1,11749,µ¿ÇØ±Í¿î,30,,,,,
20190528,1,11749,µ¿ÇØ±Í¿î,26,,,,,
20190529,1,11749,µ¿ÇØ±Í¿î,24,,,,,
20190530,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190531,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190601,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190602,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190603,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190604,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190605,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190606,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190607,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190608,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190609,1,11749,µ¿ÇØ±Í¿î,21,,,,,
20190610,1,11749,µ¿ÇØ±Í¿î,21,,,,,
