발생장소_시도,발생원인_기타
경기,소각재투기
경기,미상
강원,건축물화재비화
경기,건축물실화
경기,건축물실화
충남,입산자실화
경기,입산자실화
경기,오토바이화재
인천,담뱃불실화추정
경기,미상
경기,쓰레기소각
강원,담대꽁초투기
경기,쓰레기소각
경기,미상
강원,벌레집소각
강원,재소각(화덕)
경기,입산자실화
경기,미상
전남,산업현장실화(용접중불꽃)
경기,건축물실화(보일러실)
경기,건축물실화(음식점)
경기,쓰레기(신문지)소각
전북,입산자실화
울산,입산자실화
전남,대나무소각
경북,입산자실화
울산,입산자실화
경북,입산자실화
경북,방화
전북,잡풀소각
부산,담뱃불실화
경기,건축물실화
경기,입산자실화
강원,재처리부주의
경남,기계톱과열
경북,주택화재비화
충남,입산자실화
경기,담뱃불실화
강원,산업현장실화(용접불꽃)
경북,입산자실화
경기,쓰레기소각
인천,입산자실화
경기,농산폐기물소각
전남,쓰레기소각(생활쓰레기)
경북,미상
경기,산업현장실화(그라인더불꽃)
경기,입산자실화(성묘객)
경북,전기누전(물탱크)
경남,입산자실화
경북,용접불꽃추정
경남,산업현장 실화
충남,입산자 실화
경기,입산자실화
경북,쓰레기소각
전남,입산자실화
울산,밧데리폭발
경북,미상
전북,입산자실화
경기,입산자실화
충북,성묘객실화(담뱃불)
전남,용접불꽃추정
경기,차량화재비화
경기,가건물화재비화
경기,입산자실화
경기,미상
경기,농산폐기물소각
경기,건축물실화
광주,쓰레기소각
경북,연탄재투기
강원,미상
경기,건축물실화
경남,담뱃불실화
경북,입산자실화
경기,산업현장(그라인더불꽃)
경남,입산자실화
경기,입산자실화
강원,농업부산물소각
강원,미상
경기,쓰레기소각
전남,입산자실화
강원,입산자실화
경북,미상
경북,입산자실화
경기,산업현장실화
경북,담뱃불실화
경기,미상
강원,주택화재비화
경기,담뱃불실화
경남,농산폐기물소각 
경기,담뱃불실화
세종,입산자실화
전남,쓰레기소각
경북,입산자실화
경기,담뱃불실화
경기,미상
경기,건축물실화
경기,입산자실화
경기,미상
강원,성묘객실화(담뱃불)
인천,경작지소각
강원,입산자실화
경기,입산자실화
경기,농산폐기물소각 
경기,불씨취급 부주의
경기,농산폐기물소각 
경기,쓰레기소각
경기,농산폐기물소각 
경기,건축물실화
경기,입산자실화
경기,담뱃불실화
경기,미상
경기,담뱃불실화
강원,입산자실화
강원,쓰레기소각
경기,쓰레기소각
충남,입산자실화
경북,미상
대구,입산자실화
경남,입산자실화
강원,잔가지소각
경북,미상
경기,논밭두렁소각
경기,쓰레기소각
경기,미상
경기,담뱃불실화
경북,양봉장불씨부주의
경북,쓰레기소각추정
전남,담뱃불실화
경기,소각재투기
경기,방화
경기,입산자실화
경기,쓰레기소각
전남,주택아궁이재
전남,입산자실화
경북,농산폐기물소각
경북,농산부산물소각
경기,입산자실화
경기,입산자실화
경기,전선발화
전북,담뱃불실화
경북,성묘객실화
경북,쓰레기소각
경남,입산자실화
경북,농산폐기물소각
경남,입산자실화
경북,입산자실화
전남,쓰레기소각
경기,입산자실화
경기,소각재 투기
경기,입산자실화
울산,쓰레기소각
전북,양수기과열
경기,담뱃불실화
부산,입산자실화
경기,담뱃불실화
충남,쓰레기소각
경기,성묘객실화
인천,불법소각
경기,건축물실화
경북,농산폐기물소각
경기,담뱃불실화
전북,담뱃불실화
경북,쓰레기소각
경기,쓰레기소각
충남,입산자실화
경기,입산자실화
강원,화목보일러불씨
울산,입산자실화
경기,소각재투기
경기,쓰레기소각
충북,주택화재 전이
전남,방화
경기,쓰레기소각
대전,주택화재(창고)
경북,쓰레기소각
대구,입산자실화
전북,입산자실화
경남,입산자실화
전북,농산부산물소각
충남,건축물 실화
경기,사망화재
경북,입산자실화
충남,입산자실화
충남,산업현장실화
인천,불법소각
충남,입산자실화
경북,주택화재전이
경남,담뱃불실화추정
경북,담뱃불실화
전남,담뱃불실화추정
경남,전봇대스파크
전남,담뱃불실화추정
경기,담뱃불실화
전남,용접작업중불씨(묘지주변)
전북,입산자실화
경기,입산자실화
울산,입산자실화
경북,쓰레기소각
강원,전선스파크발화
경북,담뱃불실화
경남,입산자실화
경기,담뱃불실화
대구,입산자실화
강원,연탄재투기
서울,입산자실화
전남,쓰레기소각
경기,담뱃불실화
대구,입산자실화
경남,건축물실화
전북,입산자실화
전남,농산부산물소각
충남,입산자실화
경북,아궁이 재투기
경기,담뱃불실화
경남,담뱃불실화추정
부산,쓰레기소각
경북,입산자실화
경기,성묘객실화
세종,입산자실화
경기,담뱃불실화
전남,미상
경기,농산폐기물소각
충남,화목보일러불티
경기,농산폐기물소각
경북,미상
인천,입산자실화
강원,입산자실화
강원,캠핑장불씨부주의
전북,입산자실화
경기,주택화기불씨부주의
경기,건축물실화
울산,입산자실화
대구,입산자실화
경기,입산자실화
경북,농산폐기물소각
경기,입산자실화
경북,농막그라인드불씨부주의
경남,쓰레기소각
충남,쓰레기소각
전북,농산물소각
경기,쓰레기소각
전남,영농부산물소각
충남,입산자실화
대전,논밭두렁소각
경기,쓰레기소각
경기,입산자실화
경기,잡풀소각(농사목적)
강원,미상
경북,쓰레기소각
경기,쓰레기소각
충남,쓰레기소각
강원,쓰레기소각
강원,입산자실화
경기,쓰레기소각
경기,농산폐기물소각
경기,입산자실화
울산,입산자실화
전남,농산폐기물실화
경북,쓰레기소각
경남,성묘객실화
경기,담뱃불실화
경북,차량화재
대구,입산자실화
경기,입산자실화
경기,소각재투기
경북,농산폐기물실화
대구,입산자실화
인천,무단취사
경기,담뱃불실화
세종,온수공급호스연결부주의
경남,입산자실화
경기,어린이불장난
경기,입산자실화
강원,밭두렁소각
경북,화목보일러불티부주의
경남,담뱃불실화추정
충북,쓰레기소각
울산,농산폐기물실화
경북,미상
경북,입산자실화
전북,입산자실화
경북,미상
경기,영농폐기물소각
경기,산업현장 비화(용접중불꽃)
충남,입산자실화
경기,입산자실화
경북,담뱃불실화
인천,입산자실화
경기,논밭두렁소각
충남,화목보일러불티
충남,입산자실화
경기,담뱃불실화
대구,입산자실화
경북,건축물화재비화
강원,담뱃불실화추정
경남,건축물화재비화
전북,입산자실화
충북,성묘객실화
경남,논밭두렁소각
경기,입산자실화
경기,미상
강원,쓰레기소각
강원,쓰레기소각
경남,담뱃불실화추정
경기,건축물실화
전남,논두렁소각
경기,건축물실화
전북,쓰레기소각(움막주변)
경기,담뱃불실화
충북,등산객실화(담뱃불)
경북,전기합선(도복목으로인한)
경북,산업현장실화(기계톱과열)
경기,산업현장실화(용접중불꽃)
강원,미상
충남,쓰레기소각
경기,미상
경기,입산자실화
경기,담뱃불실화
경북,미상
경기,쓰레기소각
충남,입산자실화
경기,담뱃불실화
경기,입산자실화
경기,담뱃불실화 
강원,미상
경기,미상
경북,건축물화재 비화
경남,입산자실화
경기,용접중불씨비화
경기,창고화재
전북,입산자실화
경기,미상
인천,영농부산물소각
전남,쓰레기소각
강원,화목보일러불씨추정
경기,담뱃불실화 
전남,입산자실화
전남,미상
강원,입산자실화(추정)
강원,담뱃불실화
강원,입산자실화
강원,쓰레기소각(생활)
강원,입산자실화 추정
강원,전기요인 추정
경기,원인미상
경기,건출물실화(가구공장 전소)
울산,입산자실화
광주,원인미상
경남,쓰레기 소각
강원,입산자실화
전남,등산객 실화추정
경북,입산자 실화
충남,원인미상
전북,입산자 실화
강원,쓰레기 소각
충북,쓰레기 소각
경남,건축물 실화 추정
충남,비닐하우스 소각(미상)
충남,입산자실화(원인미상)
경남,아궁이 불씨 비화
전북,농산부산물 소각
경북,농기계 수리중 폭발
울산,공사장 용접불꽃
강원,원인미상
강원,군부대 조명탄(신호킷 추정)
충남,농산폐기물 소각
경북,공장화재 비화
강원,주택화재
전남,건축물 화재(주택내 전기누전)
강원,담뱃불 실화
강원,농산폐기물 소각
경기,전선스파크
경북,쓰레기 소각
전북,입산자실화(추정)
경기,공장화재 비화
경기,원인미상
경기,원인미상
부산,움막에서 화재
경남,용접작업 중 불씨(추정)
경남,원인미상
경기,원인미상
강원,입산자실화 추정
경북,원인미상
경남,원인미상
충남,입산자 실화(원인미상)
전남,축사화재
경기,입산자 실화
전북,입산자 실화(추정)
충남,입산자 실화(원인미상)
경남,원인미상
경기,쓰레기태우기
경북,원인미상
경북,원인미상
경남,입산자 담뱃불 실화추정
경기,원인미상
인천,원인미상
충남,입산자 실화(원인미상)
경기,원인미상
경북,쓰레기 소각
인천,캠핑객 실화
경기,입산자 실화
충남,쓰레기 소각(나뭇잎 등)
경기,(화목)보일러 재
강원,입산자 실화추정
강원,풀베기 작업 중 벌집 소각
충남,양계장 화재 비화
강원,농산폐기물 소각
경기,산업현장 실화
강원,담뱃불 실화 추정
경기,원인미상
경기,원인미상
강원,입산자실화
강원,화장실 화재
인천,원인미상
충남,입산자 실화추정
충남,주택화재
전북,입산자 실화추정
세종,농산부산물 소각
충남,입산자 실화
충남,입산자 실화
경기,쓰레기 소각
경기,입산자 실화
경북,입산자 실화추정
경북,쓰레기 소각
경북,농산폐기물 소각
서울,원인미상
경북,입산자 실화추정
울산,농산폐기물 소각
전북,입산자 실화
경북,원인미상
강원,입산자 실화추정
경기,담뱃불 실화
경기,건축물 실화(사찰 창고 화재)
경북,목조주택화재 산불전이
경기,입산자실화
충남,입산자 실화추정
경북,쓰레기적치장 소각 중 전이추정
인천,원인미상
경북,입산자 실화추정
경기,입산자 실화
경북,묘지근처 개미굴 소각
경기,성묘객 실화
충남,원인미상
전북,입산자 실화추정
경북,입산자 실화추정
강원,입산자 실화추정
경기,원인미상
대구,입산자 실화
강원,입산자 실화
경북,쓰레기 소각추정
경기,원인미상
경북,입산자 실화
강원,입산자 실화
경기,주택 정화조 모터과열
경기,입산자 실화
경기,어린이 불장난(모닥불)
경북,입산자 실화추정
울산,입산자 실화
경기,입산자실화
강원,원인미상
전남,고사리밭 소각
경북,산나물 채취자 실화추정
경기,입산자실화
충남,입산자 실화
울산,입산자 실화
경기,건축물 실화
경북,입산자 실화추정
경북,입산자 실화추정
경남,원인미상
경기,원인미상
경기,원인미상
충남,입산자 연등관리 소홀 추정
경남,원인미상
경기,쓰레기 소각
경기,입산자 실화추정
충북,원인미상
전남,쓰레기 소각
강원,원인미상
경북,입산자 실화추정
대전,원인미상
부산,입산자 실화
경북,입산자 실화추정
강원,취사행위
경기,등산객 실화
경기,등산객 담배꽁초 추정
강원,입산자 실화
경기,원인미상
경북,입산자 실화추정
전남,입산자 실화
인천,원인미상
경북,입산자 실화
경기,입산자 실화
경기,입산자 실화
경북,입산자 담뱃불 실화추정
전북,입산자 실화
경기,입산자 실화
울산,입산자 실화추정
강원,원인미상
인천,원인미상
경북,입산자 실화
경기,철제 고물 절단 중 불꽃비화
충남,입산자 실화추정
충북,원인미상
경기,원인미상
경기,원인미상
울산,입산자 실화
경기,입산자 실화
경기,산업현장 실화
경기,차량화재
강원,용접불씨
경기,원인미상
강원,입산자 실화추정
경기,원인미상
강원,입산자 실화
충북,쓰레기 소각추정
전북,입산자 실화추정
강원,입산자 실화추정
전남,입산자 실화
경남,취사-고사리밭
충남,캠핑장 불씨추정
경기,쓰레기 소각
전북,임산물 채취자에 의한 발화추정
충남,입산자 실화추정
부산,입산자 담뱃불 추정
강원,숯불 재 투기
강원,입산자 실화
강원,입산자 실화추정
경기,입산자 실화
인천,원인미상
강원,입산자 실화추정
경기,원인미상
경북,입산자 실화추정
강원,공장화재(배전판 누선)
강원,입산자 실화추정
경기,원인미상
경기,논밭두렁 소각
경남,원인미상
경북,원인미상
경기,입산자실화 추정
충북,입산자 실화
경기,논밭두렁 소각
충북,논밭두렁 소각
서울,원인미상
강원,쓰레기 소각(폐목재)
충남,입산자 실화추정
경북,입산자 실화추정
경기,입산자 실화추정
충북,밭두렁 소각
전북,입산자 실화추정
전북,쓰레기 소각(고사리 삶은 불씨 잔재)
충남,원인미상
경기,담뱃불 실화
강원,입산자 실화추정
경북,원인미상
경기,소각 재 투기
충남,농산폐기물 소각
경기,담뱃불 실화
충남,입산자 실화
경기,쓰레기 소각
광주,분신자살 추정
경북,농산부산물 소각
대전,하우스 화재
경북,원인미상
대구,입산자 실화추정
경기,용접 중 발화(잔디)
경기,용접(코바네트)발화
경기,용접 중 발화
강원,담뱃불 추정
경기,원인미상
경북,잡풀소각
경기,논밭두렁 소각
경기,용접 중 발화
충남,산나물 채쥐자 실화추정
경남,입산자 실화추정
강원,공업사 용접
대전,원인미상
경기,쓰레기 소각
부산,원인미상
강원,입산자 실화추정
경북,공장화재 전이
경기,원인미상
경북,원인미상
충북,입산자 실화추정
경북,입산자 실화추정
부산,원인미상
충남,쓰레기 소각(도로변 소각)
경기,입산자실화
충남,성묘객 실화(묘지부산물 소각)
서울,방화
경기,원인미상
경기,입산자 실화추정
강원,방화
충북,쓰레기 소각
대전,산소 벌집제거 중 발화
부산,원인미상
경기,농산폐기물 소각
경기,담뱃불 실화
전북,양계장 쓰레기 소각
경기,담뱃불 실화
경기,고물상 화재발생 스티로폼 비화
충북,쓰레기 소각
강원,입산자 실화추정
경기,농산폐기물 소각
경기,원인미상
경기,농산폐기물 소각
충남,건축물 실화
충북,농업부산물 소각
경북,성묘객 실화
경기,쓰레기 소각
서울,원인미상
경남,등산객 실화추정
경기,원인미상
강원,농산폐기물 소각
부산,원인미상
경북,입산자 실화추정
대구,입산자 실화
경북,성묘객 실화추정
경북,밭두렁 소각
경북,입산자 실화추정
경북,입산자 실화추정
경북,성묘객 실화
경남,쓰레기 소각추정
경북,성묘객 실화
부산,입산자 실화
부산,입산자 실화
충남,성묘객 실화
전남,농산폐기물 소각
대구,입산자 실화
경남,담뱃불 추정
경북,성묘객 담뱃불 실화
경기,비닐하우스 화재
경북,입산자 실화추정
경북,장동리 산불 불씨 비화
부산,원인미상
강원,"신당 전기초 합선(강릉:1033.07,동해:227.08)"
충북,방화추정
경기,원인미상
강원,"특고압 전선 아크 불티(고성:936.14,속초:330.48)"
경기,담뱃불 실화
강원,장례용품 소각
경남,왕겨소각 후 잔불 창고 화재
충남,입산자 실화추정
강원,쓰레기 소각
경북,입산자 실화추정
경북,원인미상
경기,쓰레기 소각
경기,논밭두렁 소각
충남,입산자 실화
강원,성묘객 실화(우편물 소각)
경북,입산자 담뱃불 실화
충남,입산자 실화
경남,쓰레기 소각
경기,원인미상
전남,원인미상
경남,건축물 실화
경북,입산자 실화추정
경기,논밭두렁 소각
경북,주택화재 전이
경남,원인미상
강원,숯가공 재처리 부주의
경기,쓰레기 소각추정
경기,쓰레기 소각
전북,입산자 실화
충남,입산자 실화
경남,입산자 실화추정
전남,원인미상
경남,임도공사 암반절취 마찰 불꽃
경남,원인미상
충남,묘지단장 작업 중 실화
경북,밭두렁 소각추정
경북,주택화재
부산,쓰레기 소각
경남,건축물 실화추정
경기,농산폐기물 소각
경남,원인미상
인천,아궁이 불씨
경기,쓰레기 소각
경기,컨테이너 화재
전남,용접작업 중 불씨
경북,원인미상
경남,입산자 실화추정
인천,원인미상
강원,잔디소각
전남,원인미상
전남,입산자 실화
울산,입산자 실화
대구,쓰레기 소각
경기,쓰레기 소각
전북,농가화재(조사중)
경북,벌통 소독
전남,입산자 실화
경남,원인미상
경북,생활폐기물 소각
경기,입산자 실화
경북,성묘객 실화
경기,농산폐기물 소각(과수원)
경기,비닐하우스 화재
경기,원인미상
전남,쓰레기 소각추정
경북,농산폐기물 소각(트랙터 밧줄)
세종,쓰레기 소각
전남,쓰레기 소각
경남,논사 화재 비화
전남,그라인더 파이프 절단 중 화재
경북,고물상 화재 전이
경북,농산폐기물 소각 추정
경북,쓰레기 소각
경북,쓰레기 소각추정
경기,원인미상
부산,원인미상
경남,원인미상
경남,원인미상
전북,쓰레기 소각추정
경남,원인미상
경북,입산자 실화추정
대구,입산자 실화
경북,농산폐기물 소각
울산,입산자 실화
충남,원인미상
경기,군부대 전선손상 합선
경북,쓰레기 소각추정
경북,입산자 실화추정
경북,농산부산물 소각
전북,원인미상
경기,쓰레기 소각
경기,주택화재
경북,쓰레기 소각
경기,쓰레기 소각
경북,쓰레기 소각
경남,입산자 실화추정
경기,쓰레기 소각
경남,원인미상
경기,입산자 실화
전남,원인미상
경북,쓰레기 소각
강원,예초기 조작 과실
전남,밭두렁 소각
전남,쓰레기 소각
경남,원인미상
서울,농업부산물 소각
인천,원인미상
경남,낙뢰(전날 낙뢰 피해지 재발화 추정)
경남,낙뢰
세종,낙뢰
경북,입산자 실화
경남,입산자 실화추정
경북,원인미상
경북,농산폐기물 소각
경기,입산자실화
경북,농산폐기물 소각
경남,원인미상
강원,쓰레기 소각
서울,모델하우스 화재 비화
경남,원인미상
인천,입산자 실화추정
경기,컨테이너 주택 발화추정
경기,(화목)보일러 숯 관리 부실
경기,공장화재 비화
경기,건축물 실화
세종,(화목)보일러 연통 재 비화 추정
강원,입산자실화
강원,원인미상
인천,밭두렁 소각
충북,방화추정
경기,원인미상
경기,농산폐기물 소각
경기,논밭두렁 소각
대전,원인미상
충북,과수원 파이프 절단 작업 중 불꽃 비화
경기,산업현장 실화
경기,농산폐기물 소각
전북,논밭두렁 소각
인천,밭두렁 소각
경남,주택 쓰레기 소각
경북,농산폐기물 소각
강원,산림부산물 소각
경기,원인미상
경기,건축물 화재
강원,(화목)보일러 재 처리불량
경남,농산폐기물 소각
경기,농산폐기물 소각
경남,입산자 실화추정
경기,농산폐기물 소각
경기,입산자 실화
경북,농산부산물 소각(포도전지목)
경남,원인미상
경북,"산림 사업장내 과열된 기계톱 소음기 청소중 기름찌꺼기, 불씨 비화"
경기,입산자 실화
경기,입산자 실화
경기,원인미상
경기,입산자 실화추정
충북,(무속)인 실화추정
경기,쓰레기 소각
강원,농막화재
경기,쓰레기 소각
경북,담뱃불 실화추정
경남,영농부산물 소각
경기,원인미상
경기,입산자 실화추정
경기,원인미상
강원,배수로 낙엽소각
강원,쓰레기 소각
충북,연탄재 관리 부실
경기,입산자 실화추정
경기,쓰레기 소각
강원,쓰레기 소각
경기,쓰레기 소각
경기,원인미상
경북,담뱃불 실화
경북,밭두렁 소각
충남,산나물 채쥐자 실화
경기,입산자 실화추정
경기,입산자 실화
경남,소각으로 인한 발화추정
강원,창고화재 추정
강원,입산자 실화
경남,원인미상
경기,쓰레기 소각추정
충북,밭두렁 소각
경기,논밭두렁 소각
경남,농산폐기물 소각
경기,주택화재 비화
경북,담뱃불 실화추정
인천,쓰레기 소각
경북,자연발화(폐기물 더미 속 발화)
인천,쓰레기 소각
전남,쓰레기 소각(공장)
경남,입산자 실화추정
충북,논밭두렁 소각
부산,방화 추정
인천,담뱃불 실화추정
강원,농산폐기물 소각
강원,쓰레기 소각
경기,(화목)재 취급 부주의
경기,담뱃불 실화
세종,농산폐기물 소각
대전,밭두렁 소각
부산,방화 추정
충남,나물채취 중 실화
전북,농산부산물 소각
충북,농산부산물 소각
부산,입산자 실화(담뱃불)
경남,입산자 실화추정
경북,입산자 실화추정
경남,쓰레기 소각
전남,농산폐기물 소각
전남,밭두렁 소각
경기,입산자실화
충북,묘지 주변 쓰레기 소각
경북,화덕 불씨 전이
경기,쓰레기 소각
경북,담뱃불 실화
경북,잡풀 소각
전남,묘지조성중 실화
경북,주택화재 비화
경북,공장화재
경북,입산자 실화추정
충북,주택화재 비화
전남,묘지주변 정리 중 발화
경북,건축물(계사하우스)화재 비화
경남,입산자 실화
경북,입산자 방화(등상중 부상 구조요청 목적)
경북,꿩사육 대부지 내 관리사 화재 비화
경기,농산폐기물 소각
경기,원인미상
세종,(화목)보일러 재처리 미숙
부산,입산자 실화
전남,쓰레기 소각
경기,농산폐기물 소각
경기,건축물 화재
인천,원인미상
경남,원인미상
경기,농산폐기물 소각
경기,원인미상
충남,주택비화(동파방지하려 아궁이에 피운 불)
인천,인근축사 발화 추정
경북,입산자 실화추정
전남,입산자 실화
울산,입산자 모닥불
경남,건축물 실화
경남,건축물 실화
경북,입산자 실화추정
경북,공장화재 산불전이
경북,농산폐기물 소각
경기,건축물 실화(소요산 관리사무소 화재)
경기,건축물 실화(전기누전)
경남,원인미상
경북,담뱃불 실화추정
경기,입산자실화
경북,(무속)기도용 향불로 인한 발화
경기,원인미상
강원,원인미상
강원,굴삭기 화재
전남,밭두렁 소각
경남,건축물 실화
경북,입산자 실화추정
경기,원인미상
경기,쓰레기 소각
인천,쓰레기 소각
경남,원인미상
전남,묘지사초
경북,입산자 실화추정
강원,쓰레기 소각
경기,입산자 실화(음식점 숯불로 인한 화재)
경기,입산자 실화
인천,원인미상
경기,어린이 불장난
대전,원인미상
부산,쓰레기 소각에 의한 농막 소실
강원,입산자 실화
인천,원인미상
전북,입산자 실화
부산,원인미상
경기,주택보일러 화재 비화 추정
경북,쓰레기 소각
경남,원인미상
경기,쓰레기 소각
강원,담뱃불 실화
경남,원인미상
전남,농산폐기물 소각
강원,담뱃불 실화
강원,(화목)보일러 재 방치
경기,쓰레기 소각
경기,정신질환자 소각
충북,(화목)사찰화목보일러 취급 부주의
울산,담뱃불 실화
경북,원인미상
인천,원인미상
충북,작업장 실화
경남,원인미상
강원,파이프절단중 불씨발화
충북,쓰레기 소각
경기,(화목)난로 부주의
경남,원인미상
강원,원인미상
경기,농막에서 발화추정
경북,입산자 실화추정
경북,원인미상
경남,원인미상
전남,원인미상
전남,원인미상
경기,원인미상
경기,원인미상
강원,입목처분지 벌채작업 중 기계톱 불씨
전북,쓰레기 소각
대전,성묘객 실화(조화소각)
전남,농산폐기물 소각
대전,원인미상
부산,입산자 실화
부산,원인미상
강원,(화목)보일러 재처리 부주의
강원,(화목)보일러 재화재
경북,논밭두렁 소각
충북,농업부산물 소각
충북,닭사육장내 쓰레기 소각
울산,입산자 실화
충남,농산폐기물 소각
부산,원인미상
경남,비닐하우스 화재
전남,원인미상
부산,담뱃불 추정
전남,원인미상
경기,원인미상
세종,쓰레기 소각
경남,입산자 실화
경북,연탄재 투기
강원,재 투기(조사중)
전남,쓰레기 소각
경기,등산객 실화추정
인천,원인미상
경북,입산자 실화추정
경기,난로재 실화
경북,방화
경남,주택 내 쓰레기 소각
경기,전원주택 공사간 드럼통 난로 발화
경북,(화목)보일러 재 투기
충북,창고 화재 비화
충북,원인미상
경기,입산자실화
경기,쓰레기 소각
경북,건축물화재(집불)비화
경북,방화
전북,성묘객 실화(묘지주변 작업)
경북,(화목)보일러 재 투기
경남,입산자 실화
전북,성묘객 실화(묘지주변 발화)
경북,(무속)기도용 촛불
경북,쓰레기 소각
경기,컨테이너 전기합선
경북,원인미상
인천,원인미상
울산,입산자 실화
강원,담뱃불 실화추정
전남,쓰레기 소각
경북,입산자 실화추정
부산,원인미상
전남,쓰레기소각
전남,용접작업 중비화
전북,(화목)보일러 비화
전남,원인미상
충북,원인미상
경북,농산부산물소각
대전,원인미상
강원,주택화재
경기,공장화재
경북,건축물실화
전북,입산자실화
경기,원인미상
경기,인근공사장용접에의한실화
경남,축사용접작업으로주택화재비화
전남,원인미상
서울,원인미상
경기,입산자실화
충남,쓰레기소각
강원,쓰레기소각
경남,입산자실화
경북,원인미상
부산,쓰레기소각추정
인천,담뱃불실화추정
충남,쓰레기소각
전남,원인미상
전남,쓰레기소각
경기,쓰레기소각
전남,원인미상
전북,입산자실화
서울,원인미상
서울,원인미상
경북,쓰레기소각
충북,(화목)보일러재불씨비화
경남,입산자실화
경남,입산자실화
강원,방화 추정
강원,쓰레기소각
부산,원인미상
전남,공장창고용접불꽃실화
강원,입산자실화
경기,새쫒기위해터트린폭죽
경기,쓰레기소각
서울,성벽보수공사중모노레모터과열
전남,군사격장 훈련에 따른 피탄
충남,입산자실화(조사중)
인천,군부대훈련(조명탄에 의한 발화)
경북,원인미상
부산,입산자실화
경북,입산자실화
강원,입산자실화
서울,산신각건축물화재비화추정
전남,성묘객실화
경북,입산자실화
경북,입산자실화
인천,원인미상
경기,불발조명탄자연발화추정
전북,쓰레기소각
충북,원인미상
부산,입산자 담뱃불실화추정
경기,원인미상
전남,원인미상
전북,성묘객실화
충북,조림지풀베기사업장실화
충북,조림지풀베기사업장실화
충북,쓰레기소각
경남,입산자실화
경기,입산자실화
충북,입산자실화
전남,원인미상
전북,담뱃불실화추정
전북,성묘객실화
전남,묘지 성묘객실화
경북,입산자실화
강원,입산자실화
경기,산림사업작업장실화추정
경기,등산객실화추정
경기,입산자실화
충남,입산자실화
충남,조림지내벌집제거중실화
경북,농산폐기물소각추정
강원,입산자실화
경기,입산자실화
경북,입산자실화
부산,방화
울산,원인미상
경남,창고화재 비화
경기,풀베기작업후발화추정
전남,원인미상
강원,입산자실화
강원,입산자실화
경북,고추씨발효로자연발화추정
경북,쓰레기소각
경북,입산자실화
경남,입산자실화
울산,"쓰레기소각(농산물, 생활쓰레기)"
강원,입산자실화
경기,방화 추정
울산,입산자실화
경남,입산자실화
전북,입산자실화
충남,입산자실화
강원,조명탄 발화(조사중)
강원,산업현장담뱃불실화추정
경북,입산자실화
전북,등산객실화(담뱃불)추정
경기,입산자실화
경기,등산객실화추정
경북,농산물 소각
강원,예초기과열추정
경북,원인미상
전남,입산자실화
경북,원인미상
전북,풀베기 작업장담뱃불실화추정
충북,농업부산물(밤나무 전지목)소각
충북,원인미상
전남,풀베기사업장실화추정
충남,풀베기사업장실화추정(담뱃불)
경북,농산부산물소각추정
경북,무속행위 추정
경남,입산자실화
강원,입산자실화
강원,입산자실화
경북,원인미상
경남,입산자실화
경북,낚시꾼실화추정
경남,입산자실화
전북,입산자실화
충북,입산자실화
경남,입산자실화
경북,쓰레기소각
강원,입산자실화
경북,농산부산물소각
경북,입산자실화
강원,입산자실화
강원,입산자실화
충북,쓰레기소각
충남,입산자실화
경북,원인미상
충북,입산자실화
충북,입산자실화
충남,입산자실화
전남,영농폐기물 소각
경북,입산자담뱃불실화추정
전남,입산자실화
경북,쓰레기소각
경북,축사내야생동물방지용폭죽불씨비화
충남,입산자실화
세종,원인미상
전남,입산자실화
전북,입산자실화
경기,입산자실화
서울,원인미상
충남,입산자담뱃불실화추정
서울,원인미상
서울,원인미상
경북,입산자실화
전남,석굴거주지실화추정
부산,원인미상
서울,원인미상
경기,절에서향피우다실화
강원,입산자실화
충남,주택화재 비화
경북,입산자실화
전북,성묘객실화(묘지주변정리)
경북,입산자실화
전북,입산자실화
경남,입산자실화
대전,원인미상
경북,산나물채취자실화추정
전북,입산자실화
경기,입산자실화
경북,폐가 전기누전 추정
인천,입산자담뱃불실화추정
충북,입산자실화
경북,밭소각
강원,원인미상
충남,입산자실화
강원,입산자실화
경북,원인미상
경남,건축물실화(주택수리 중 용접)
경북,산나물채취자 실화추정
경기,입산자실화
전북,산나물채취자 실화
경기,등산객 실화(담뱃불)추정
강원,입산자실화
경북,산나물채취자실화추정
대구,입산자실화
강원,입산자실화
경기,입산자실화
경남,농산폐기물소각
경남,입산자실화
충북,산나물채취자실화
경기,공장화재
충남,입산자실화
경남,건축물실화(축사내 용접 전이)
경북,밭두렁소각
강원,입산자담뱃불실화추정
경북,입산자실화
강원,원인미상
경북,농산부산물소각(깨)
경북,고사리건조작업
충북,입산자실화
경북,밭두렁소각
전남,입산자실화
경북,농산물 소각
경남,입산자실화
경북,전기합선
전북,성묘객실화(묘지관리)
충남,하우스용접중불티비화
경남,밭두렁소각
경기,쓰레기소각(낙엽)
인천,성묘객실화
경북,입산자실화
경북,농산부산물(고춧대)소각
경기,원인미상
전남,입산자실화
강원,쓰레기소각
경북,입산자실화
경기,쓰레기소각
울산,원인미상
경북,용접불씨비화
인천,쓰레기소각
경북,입산자실화
인천,생활쓰레기소각
경남,암자요사채화재전이
전북,쓰레기소각
경기,입산자실화
세종,원인미상
서울,원인미상
강원,원인미상
충북,밭두렁소각
충북,성묘객실화
경북,밭두렁소각
전남,묘지주변쓰레기소각
대구,주택화재
경기,성묘객실화
경북,원인미상
경북,쓰레기소각
경북,묘지정비중실화추정
