발생장소_시도,발생원인_기타
경남,입산자실화
전북,담뱃불실화
대구,입산자실화
인천,입산자실화
울산,입산자실화
전북,미상(입산자실화)
경남,입산자실화
경북,입산자실화
경기,미상
전북,입산자실화
경기,미상
전남,입산자실화
강원,푹죽실화
전남,입산자실화
경북,농산폐기물소각
전남,입산자실화
대구,용접불씨비화
경기,미상
충남,입산자실화
강원,미상
경기,밭두렁소각
전남,입산자실화
경기,담뱃불실화
전북,밭두렁소각
전남,양봉장불씨취급부주의
충남,입산자실화
충남,입산자실화
강원,잔디밭불씨부주의
전남,입산자실화
경북,고물상화재전이
경기,불씨취급부주의(가스버너)
울산,주택화재비화
경북,입산자실화
충북,미상
경기,미상
강원,철도전차선스파크
대구,입산자실화
경북,펌프전기발화
경남,입산자(담뱃불)실화추정
전북,농산물소각
전남,입산자실화
경기,미상
강원,생활쓰레기소각(낙엽)
경북,입산자실화(산악오토바이)
경남,컨테이너화재비화
경기,담뱃불실화
경기,미상
경기,미상
경북,입산자실화
강원,미상
경기,미상
경기,입산자실화
강원,차량화재
강원,미상
경기,성묘객실화
부산,비닐하우스화재비화
경기,쓰레기소각
경남,미상
대구,등산객(담뱃불)실화
경기,미상
경북,입산자실화
충남,입산자실화
충남,쓰레기소각
경기,미상
경기,성묘객실화
경북,입산자실화
충남,영농부산물소각
경남,창고화재전이
경기,용접작업불씨
경기,미상
경기,쓰레기소각
경기,쓰레기소각
전북,밭두렁소각
경기,미상
전남,입산자실화
충남,쓰레기소각
경북,방화추정
전북,입산자실화
전북,입산자실화
경기,바베큐그릴재투기
전남,입산자실화
경남,입산자실화
충남,미상
전남,움막화재
경기,미상
경기,쓰레기소각
전북,입산자실화
경기,미상
경기,미상
경남,주택화재(주택내불씨부주의)
경기,담뱃불실화
인천,재불씨취급부주의(캠핑장)
경남,입산자실화
경북,용접불꽃비화
인천,연통불씨취급부주의
경기,담뱃불실화
경기,쓰레기소각
경기,입산자실화
경북,화목보일러재투기
경북,쓰레기소각
충남,입산자실화
경기,미상
경기,쓰레기소각
충남,입산자실화
경북,입산자실화
경기,쓰레기소각
경기,쓰레기소각
경기,담뱃불실화
세종,농산폐기물소각
강원,불씨취급부주의
경기,쓰레기소각
울산,입산자실화
경북,미상
충북,입산자실화
경북,입산자실화
서울,미상
울산,사찰내쓰레기소각
전북,농산폐기물소각
경기,입산자담뱃불추정
전북,양봉훈증불씨취급부주의
충남,농막화재비화
경기,생활쓰레기(낙엽)
경기,농산폐기물소각
경기,쓰레기소각추정
전북,입산자실화
경남,군비행기추착비화
경기,비닐하우스화재비화
전남,입산자실화
서울,미상
경기,미상
경남,농산폐기물소각
강원,입산자실화(담뱃불)
경기,생활쓰레기(낙엽)
경기,용접작업중불꽃
경남,입산자실화
경남,주택화재비화
경남,농산폐기물소각
부산,미상
충남,입산자실화
경북,화기사용주부의
경북,담뱃불실화
경남,입산자실화
전북,담뱃불실화
강원,생활쓰레기소각
전남,성묘객실화
경기,담뱃불실화
강원,산업현장(한전작업중)불꽃
경남,조사중
전북,담뱃불실화
경기,미상
전북,입산자실화
전남,불씨취급부주의
경기,화목보일러재비화
경기,조사중
충남,담뱃불실화
충남,농산폐기물소각
충남,입산자실화
경북,입산자실화
울산,미상
경기,미상
전북,용접불꽃(축사)
전북,입산자실화
경남,농산폐기물소각
경기,입산자실화
전북,농산폐기물소각
경기,미상
전북,입산자실화
강원,생활쓰레기소각추정
제주,담뱃불실화
울산,담뱃불실화
충남,입산자실화
경기,생활쓰레기소각(낙엽)
대구,입산자실화
경남,농산폐기물소각
경남,화목보일러 재처리부주의
울산,입산자실화
경남,드론추락의베터리폭발
충남,입산자실화
부산,조사중
경남,입산자실화
대구,산불비화추정
경남,생활쓰레기소각추정
충남,미상
충남,산럽현장(용접)실화
경북,쓰레기소각
경남,입산자실화
경북,묵밭폐기물소각
경기,건축물실화
충남,입산자(담뱃불)실화추정
경남,건축물실화
강원,방화
강원,미상
경남,입산자실화
경기,건축물실화
서울,주택화재비화
충남,아궁이불씨부주의
경북,담뱃불실화
강원,화목보일러불씨
경북,도로변발화추정
경북,가로등누전(CCTV확인)
인천,미상
경북,공장화재비화
경북,담뱃불실화
경기,농산폐기물소각
경기,입산자실화
경기,미상
경북,담뱃불실화
경남,입산자실화
부산,미상
충남,미상(입산자실화)
경북,방화추정
경북,입산자실화
충북,입산자실화
전남,입산자실화
경남,입산자실화(수사중)
경기,농산부산물소각
전북,밭두렁소각
울산,입산자실화
경북,과수원전지목소각
충남,입산자실화
경북,작업자실화
충남,입산자실화
충남,농산부산물소각
충남,입산자실화
경기,쓰레기소각(생활)추정
울산,입산자실화
충북,입산자실화
대구,입산자실화
경북,연탄재투기
강원,화목난로재투기
경북,입산자실화
부산,입산자실화
전남,성묘객실화(담뱃불)
경북,양봉장화재전이
충북,입산자실화
전남,쓰레기소각(생활)추정
강원,화목보일러재투기
인천,조사중(화목난로재불씨추정)
경남,아궁이재취급부주의
충북,입산자실화
울산,농막화재
경남,입산자실화
전남,농산폐기물소각
전남,불씨취급부주의
전남,에초기불꽃
경북,화목보일러재투기
경남,작업자실화추정
강원,화목보일러재투기
강원,미상
경기,담뱃불실화
광주,입산자실화
강원,산림사업장(담뱃불)
경북,모닥불비화
서울,미상
충남,화목보일러화재비화
강원,산업현장실화(공사장용접)
충남,입산자실화
경기,미상
인천,화목난로재부주의
경북,비닐하우스화재비화
경남,주텍화재비화
강원,미상
경기,쓰레기소각(생활)
경북,화목보일러재투기
경기,미상
경기,미상
전북,입산자실화
