anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl
20190625,정상,11749,동해귀운,68
20190626,정상,11749,동해귀운,69
20190627,정상,11749,동해귀운,69
20190628,정상,11749,동해귀운,68
20190629,정상,11749,동해귀운,65
20190630,정상,11749,동해귀운,69
20190701,정상,11749,동해귀운,68
20190702,정상,11749,동해귀운,63
20190703,정상,11749,동해귀운,58
20190704,정상,11749,동해귀운,54
20190705,정상,11749,동해귀운,50
20190706,관심,11749,동해귀운,46
20190707,관심,11749,동해귀운,42
20190708,관심,11749,동해귀운,39
20190709,관심,11749,동해귀운,36
20190710,관심,11749,동해귀운,37
20190711,관심,11749,동해귀운,38
20190712,정상,11749,동해귀운,78
20190713,정상,11749,동해귀운,76
20190714,정상,11749,동해귀운,74
20190715,정상,11749,동해귀운,72
20190716,정상,11749,동해귀운,71
20190717,정상,11749,동해귀운,71
20190718,정상,11749,동해귀운,70
20190719,정상,11749,동해귀운,70
20190720,정상,11749,동해귀운,69
20190721,정상,11749,동해귀운,76
20190722,정상,11749,동해귀운,76
20190723,정상,11749,동해귀운,74
20190724,정상,11749,동해귀운,72
20190725,정상,11749,동해귀운,70
20190726,정상,11749,동해귀운,70
20190727,정상,11749,동해귀운,69
20190728,정상,11749,동해귀운,68
20190729,정상,11749,동해귀운,68
20190730,정상,11749,동해귀운,67
20190731,정상,11749,동해귀운,67
20190801,정상,11749,동해귀운,65
20190802,정상,11749,동해귀운,63
20190803,심각,11749,동해귀운,1
20190804,정상,11749,동해귀운,59
20190805,정상,11749,동해귀운,59
20190806,정상,11749,동해귀운,54
20190807,정상,11749,동해귀운,53
20190808,정상,11749,동해귀운,77
20190809,정상,11749,동해귀운,73
20190810,정상,11749,동해귀운,73
20190811,정상,11749,동해귀운,70
20190812,정상,11749,동해귀운,70
20190813,정상,11749,동해귀운,70
20190814,정상,11749,동해귀운,69
20190815,정상,11749,동해귀운,68
20190816,정상,11749,동해귀운,69
20190820,정상,11749,동해귀운,72
20190821,정상,11749,동해귀운,71
20190822,정상,11749,동해귀운,70
20190823,정상,11749,동해귀운,69
20190824,정상,11749,동해귀운,68
20190825,정상,11749,동해귀운,68
20190826,정상,11749,동해귀운,67
20190827,정상,11749,동해귀운,67
20190828,정상,11749,동해귀운,66
20190829,정상,11749,동해귀운,64
20190830,정상,11749,동해귀운,63
20190831,정상,11749,동해귀운,60
20190901,정상,11749,동해귀운,58
20190902,정상,11749,동해귀운,50
20190903,관심,11749,동해귀운,49
20190904,정상,11749,동해귀운,59
20190905,정상,11749,동해귀운,62
20190906,정상,11749,동해귀운,64
20190907,정상,11749,동해귀운,65
20190908,정상,11749,동해귀운,67
20190909,정상,11749,동해귀운,65
20190910,정상,11749,동해귀운,63
20190911,정상,11749,동해귀운,62
20190912,정상,11749,동해귀운,72
20190913,정상,11749,동해귀운,71
20190914,정상,11749,동해귀운,68
20190915,정상,11749,동해귀운,66
20190916,정상,11749,동해귀운,65
20190917,정상,11749,동해귀운,63
20190918,정상,11749,동해귀운,62
20190919,정상,11749,동해귀운,61
20190920,정상,11749,동해귀운,60
20190921,정상,11749,동해귀운,61
20190922,정상,11749,동해귀운,62
20190923,정상,11749,동해귀운,81
20190924,정상,11749,동해귀운,77
20190925,정상,11749,동해귀운,72
20190926,정상,11749,동해귀운,69
20190927,정상,11749,동해귀운,67
20190928,정상,11749,동해귀운,65
20190929,정상,11749,동해귀운,64
20190930,정상,11749,동해귀운,63
20191001,정상,11749,동해귀운,61
20191002,정상,11749,동해귀운,67
20191003,정상,11749,동해귀운,74
20191004,정상,11749,동해귀운,86
20191005,정상,11749,동해귀운,79
20191006,정상,11749,동해귀운,78
20191007,정상,11749,동해귀운,76
20191008,정상,11749,동해귀운,75
20191009,정상,11749,동해귀운,73
20191010,정상,11749,동해귀운,72
20191011,정상,11749,동해귀운,71
20191012,정상,11749,동해귀운,71
20191013,정상,11749,동해귀운,70
20191014,정상,11749,동해귀운,69
20191015,정상,11749,동해귀운,71
20191016,정상,11749,동해귀운,72
20191107,정상,11749,동해귀운,73
20191108,정상,11749,동해귀운,72
20191109,정상,11749,동해귀운,72
20191110,정상,11749,동해귀운,71
20191111,정상,11749,동해귀운,71
20191112,정상,11749,동해귀운,71
20191113,정상,11749,동해귀운,71
20191114,정상,11749,동해귀운,71
20191115,정상,11749,동해귀운,70
20191116,정상,11749,동해귀운,70
20191117,정상,11749,동해귀운,69
20191118,정상,11749,동해귀운,69
20191119,정상,11749,동해귀운,69
20191120,정상,11749,동해귀운,69
20191121,정상,11749,동해귀운,69
20191122,정상,11749,동해귀운,68
20191123,정상,11749,동해귀운,67
20191124,정상,11749,동해귀운,67
20191125,정상,11749,동해귀운,67
20191126,정상,11749,동해귀운,70
20191127,정상,11749,동해귀운,70
20191128,정상,11749,동해귀운,71
20191129,정상,11749,동해귀운,73
20191130,정상,11749,동해귀운,76
20191201,정상,11749,동해귀운,75
20191202,정상,11749,동해귀운,7.833
20191203,정상,11749,동해귀운,7.777
20191204,정상,11749,동해귀운,7.708
20191205,정상,11749,동해귀운,7.742
20191206,정상,11749,동해귀운,7.676
20191207,정상,11749,동해귀운,7.628
20191208,정상,11749,동해귀운,7.612
20191209,정상,11749,동해귀운,7.597
20191210,정상,11749,동해귀운,7.582
20191211,정상,11749,동해귀운,7.566
20191212,정상,11749,동해귀운,7.566
20191213,정상,11749,동해귀운,7.458
20191214,정상,11749,동해귀운,7.409
20191215,정상,11749,동해귀운,7.426
20191216,정상,11749,동해귀운,7.357
20191217,정상,11749,동해귀운,7.357
20191218,정상,11749,동해귀운,7.409
20191219,정상,11749,동해귀운,7.474
20191220,정상,11749,동해귀운,7.442
20191221,정상,11749,동해귀운,7.299
20191222,정상,11749,동해귀운,7.232
20191223,정상,11749,동해귀운,7.179
20191224,정상,11749,동해귀운,7.116
20191225,정상,11749,동해귀운,7.038
20191226,정상,11749,동해귀운,6.993
20191227,정상,11749,동해귀운,6.892
20191228,정상,11749,동해귀운,6.838
20191229,정상,11749,동해귀운,6.726
20191230,정상,11749,동해귀운,6.667
20191231,정상,11749,동해귀운,6.607
20200101,정상,11749,동해귀운,6.477
20200102,정상,11749,동해귀운,6.407
20200103,정상,11749,동해귀운,6.335
20200104,정상,11749,동해귀운,6.258
20200105,정상,11749,동해귀운,6.084
20200106,정상,11749,동해귀운,6.176
20200107,정상,11749,동해귀운,6.084
20200108,정상,11749,동해귀운,7.299
20200109,정상,11749,동해귀운,7.628
20200110,정상,11749,동해귀운,7.708
20200111,정상,11749,동해귀운,7.725
20200112,정상,11749,동해귀운,7.725
20200113,정상,11749,동해귀운,7.708
20200114,정상,11749,동해귀운,7.692
20200115,정상,11749,동해귀운,7.676
20200116,정상,11749,동해귀운,7.676
20200117,정상,11749,동해귀운,7.659
20200118,정상,11749,동해귀운,7.644
20200119,정상,11749,동해귀운,7.628
20200120,정상,11749,동해귀운,7.489
20200121,정상,11749,동해귀운,7.458
20200122,정상,11749,동해귀운,7.505
20200123,정상,11749,동해귀운,7.426
20200124,정상,11749,동해귀운,7.256
20200125,정상,11749,동해귀운,7.149
20200126,정상,11749,동해귀운,7.079
20200127,정상,11749,동해귀운,7.038
20200128,정상,11749,동해귀운,7.079
20200129,정상,11749,동해귀운,7.566
20200130,정상,11749,동해귀운,7.692
20200131,정상,11749,동해귀운,7.742
20200201,정상,11749,동해귀운,7.725
20200202,정상,11749,동해귀운,7.725
20200203,정상,11749,동해귀운,7.725
20200204,정상,11749,동해귀운,7.708
20200205,정상,11749,동해귀운,7.692
20200206,정상,11749,동해귀운,7.676
20200207,정상,11749,동해귀운,7.676
20200208,정상,11749,동해귀운,7.659
20200209,정상,11749,동해귀운,7.659
20200210,정상,11749,동해귀운,7.644
20200211,정상,11749,동해귀운,7.612
20200212,정상,11749,동해귀운,7.612
20200213,정상,11749,동해귀운,7.612
20200214,정상,11749,동해귀운,7.612
20200219,정상,11749,동해귀운,7.116
20200220,정상,11749,동해귀운,7.116
20200221,정상,11749,동해귀운,7.149
20200222,정상,11749,동해귀운,7.149
20200223,정상,11749,동해귀운,7.116
20200224,정상,11749,동해귀운,7.116
20200226,정상,11749,동해귀운,7.179
20200227,정상,11749,동해귀운,7.375
20200228,정상,11749,동해귀운,7.409
20200229,정상,11749,동해귀운,7.426
20200301,정상,11749,동해귀운,7.409
20200302,정상,11749,동해귀운,7.375
20200303,정상,11749,동해귀운,7.338
20200304,정상,11749,동해귀운,7.319
