anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl
20180625,관심,11749,동해귀운,31
20180626,관심,11749,동해귀운,31
20180627,관심,11749,동해귀운,31
20180628,관심,11749,동해귀운,30
20180629,관심,11749,동해귀운,29
20180630,관심,11749,동해귀운,28
20180701,정상,11749,동해귀운,66
20180702,정상,11749,동해귀운,75
20180703,정상,11749,동해귀운,76
20180704,정상,11749,동해귀운,82
20180705,정상,11749,동해귀운,84
20180706,정상,11749,동해귀운,85
20180707,정상,11749,동해귀운,84
20180708,정상,11749,동해귀운,82
20180709,정상,11749,동해귀운,81
20180710,정상,11749,동해귀운,81
20180711,정상,11749,동해귀운,80
20180712,정상,11749,동해귀운,76
20180713,정상,11749,동해귀운,75
20180714,정상,11749,동해귀운,73
20180715,정상,11749,동해귀운,72
20180716,정상,11749,동해귀운,72
20180717,정상,11749,동해귀운,72
20180718,정상,11749,동해귀운,71
20180719,정상,11749,동해귀운,70
20180720,정상,11749,동해귀운,69
20180721,정상,11749,동해귀운,69
20180722,정상,11749,동해귀운,68
20180723,정상,11749,동해귀운,66
20180724,정상,11749,동해귀운,65
20180725,정상,11749,동해귀운,63
20180726,정상,11749,동해귀운,60
20180727,정상,11749,동해귀운,58
20180728,정상,11749,동해귀운,55
20180729,정상,11749,동해귀운,53
20180730,관심,11749,동해귀운,49
20180731,관심,11749,동해귀운,47
20180801,관심,11749,동해귀운,42
20180802,관심,11749,동해귀운,45
20180803,관심,11749,동해귀운,42
20180804,관심,11749,동해귀운,39
20180805,관심,11749,동해귀운,37
20180806,정상,11749,동해귀운,67
20180807,정상,11749,동해귀운,76
20180808,정상,11749,동해귀운,77
20180809,정상,11749,동해귀운,83
20180810,정상,11749,동해귀운,85
20180811,정상,11749,동해귀운,84
20180812,정상,11749,동해귀운,82
20180813,정상,11749,동해귀운,81
20180814,정상,11749,동해귀운,80
20180815,정상,11749,동해귀운,79
20180816,정상,11749,동해귀운,87
20180817,정상,11749,동해귀운,83
20180818,정상,11749,동해귀운,81
20180819,정상,11749,동해귀운,79
20180820,정상,11749,동해귀운,78
20180821,정상,11749,동해귀운,78
20180822,정상,11749,동해귀운,77
20180823,정상,11749,동해귀운,77
20180824,정상,11749,동해귀운,87
20180825,정상,11749,동해귀운,84
20180826,정상,11749,동해귀운,81
20180827,정상,11749,동해귀운,83
20180828,정상,11749,동해귀운,86
20180829,정상,11749,동해귀운,88
20180830,정상,11749,동해귀운,86
20180831,정상,11749,동해귀운,86
20180901,정상,11749,동해귀운,76
20180902,정상,11749,동해귀운,74
20180903,정상,11749,동해귀운,73
20180904,정상,11749,동해귀운,84
20180905,정상,11749,동해귀운,81
20180906,정상,11749,동해귀운,78
20180907,정상,11749,동해귀운,75
20180908,정상,11749,동해귀운,73
20180909,정상,11749,동해귀운,72
20180910,정상,11749,동해귀운,73
20180911,정상,11749,동해귀운,72
20180912,정상,11749,동해귀운,71
20180913,정상,11749,동해귀운,61
20180914,정상,11749,동해귀운,61
20180915,정상,11749,동해귀운,61
20180916,정상,11749,동해귀운,61
20180917,정상,11749,동해귀운,60
20180918,정상,11749,동해귀운,60
20180919,정상,11749,동해귀운,58
20180920,정상,11749,동해귀운,69
20180921,정상,11749,동해귀운,74
20180922,정상,11749,동해귀운,72
20180923,정상,11749,동해귀운,70
20180924,정상,11749,동해귀운,67
20180925,정상,11749,동해귀운,65
20180926,정상,11749,동해귀운,65
20180927,정상,11749,동해귀운,64
20180928,정상,11749,동해귀운,63
20180929,정상,11749,동해귀운,62
20180930,정상,11749,동해귀운,61
20181001,정상,11749,동해귀운,67
20181002,정상,11749,동해귀운,66
20181003,정상,11749,동해귀운,66
20181004,정상,11749,동해귀운,67
20181005,정상,11749,동해귀운,79
20181006,정상,11749,동해귀운,90
20181007,정상,11749,동해귀운,83
20181008,정상,11749,동해귀운,80
20181009,정상,11749,동해귀운,77
20181010,정상,11749,동해귀운,75
20181011,정상,11749,동해귀운,74
20181012,정상,11749,동해귀운,72
20181013,정상,11749,동해귀운,72
20181014,정상,11749,동해귀운,71
20181015,정상,11749,동해귀운,70
20181016,정상,11749,동해귀운,68
20181017,정상,11749,동해귀운,68
20181018,정상,11749,동해귀운,75
20181019,정상,11749,동해귀운,74
20181020,정상,11749,동해귀운,72
20181021,정상,11749,동해귀운,71
20181022,정상,11749,동해귀운,70
20181023,정상,11749,동해귀운,69
20181024,정상,11749,동해귀운,68
20181025,정상,11749,동해귀운,68
20181026,정상,11749,동해귀운,67
20181027,정상,11749,동해귀운,67
20181028,정상,11749,동해귀운,67
20181029,정상,11749,동해귀운,66
20181030,정상,11749,동해귀운,65
20181031,정상,11749,동해귀운,64
20181101,정상,11749,동해귀운,71
20181102,정상,11749,동해귀운,70
20181103,정상,11749,동해귀운,68
20181104,정상,11749,동해귀운,68
20181105,정상,11749,동해귀운,67
20181106,정상,11749,동해귀운,66
20181107,정상,11749,동해귀운,66
20181108,정상,11749,동해귀운,70
20181109,정상,11749,동해귀운,74
20181110,정상,11749,동해귀운,73
20181111,정상,11749,동해귀운,72
20181112,정상,11749,동해귀운,71
20181113,정상,11749,동해귀운,71
20181114,정상,11749,동해귀운,71
20181115,정상,11749,동해귀운,70
20181116,정상,11749,동해귀운,70
20181117,정상,11749,동해귀운,69
20181118,정상,11749,동해귀운,69
20181119,정상,11749,동해귀운,68
20181120,정상,11749,동해귀운,67
20181121,정상,11749,동해귀운,67
20181122,정상,11749,동해귀운,66
20181123,정상,11749,동해귀운,65
20181124,정상,11749,동해귀운,64
20181125,정상,11749,동해귀운,64
20181126,정상,11749,동해귀운,64
20181127,정상,11749,동해귀운,62
20181128,정상,11749,동해귀운,61
20181129,정상,11749,동해귀운,60
20181130,정상,11749,동해귀운,58
20181201,정상,11749,동해귀운,59
20181202,정상,11749,동해귀운,58
20181203,정상,11749,동해귀운,57
20181204,정상,11749,동해귀운,62
20181205,정상,11749,동해귀운,66
20181206,정상,11749,동해귀운,66
20181207,정상,11749,동해귀운,65
20181208,정상,11749,동해귀운,63
20181209,정상,11749,동해귀운,61
20181211,정상,11749,동해귀운,60
20181212,정상,11749,동해귀운,59
20181213,정상,11749,동해귀운,59
20181214,정상,11749,동해귀운,57
20181215,정상,11749,동해귀운,56
20181216,정상,11749,동해귀운,55
20181217,정상,11749,동해귀운,53
20181218,정상,11749,동해귀운,52
20181219,정상,11749,동해귀운,53
20181220,정상,11749,동해귀운,53
20181221,정상,11749,동해귀운,53
20181222,정상,11749,동해귀운,52
20181223,정상,11749,동해귀운,52
20181224,정상,11749,동해귀운,50
20181225,정상,11749,동해귀운,50
20181226,관심,11749,동해귀운,49
20181227,관심,11749,동해귀운,48
20181228,관심,11749,동해귀운,46
20181229,관심,11749,동해귀운,45
20181230,관심,11749,동해귀운,43
20181231,관심,11749,동해귀운,41
