지점,지점명,년월,SPI3,SPI6
90,속초,2013-07,-0.2993181818181818,-0.37899999999999995
90,속초,2013-08,-0.4981935483870968,-0.8015161290322581
90,속초,2013-09,-0.7181333333333334,-0.9902
90,속초,2013-10,-0.4150645161290323,-0.7709032258064517
90,속초,2013-11,-0.41329999999999995,-0.8729333333333333
90,속초,2013-12,0.07312903225806451,-0.6813225806451613
90,속초,2014-01,-0.5364516129032257,-0.8934193548387097
90,속초,2014-02,0.9771428571428571,0.01825
90,속초,2014-03,1.1633870967741935,0.6360322580645161
90,속초,2014-04,1.2356333333333334,0.43733333333333335
90,속초,2014-05,0.08535483870967742,0.7649354838709678
90,속초,2014-06,-0.7014333333333334,0.3222
90,속초,2014-07,-1.4306129032258066,-0.3953548387096774
90,속초,2014-08,-1.483516129032258,-1.1213870967741935
90,속초,2014-09,-0.42893333333333333,-0.7896333333333333
90,속초,2014-10,-0.20993548387096775,-1.1529677419354838
90,속초,2014-11,-0.47716666666666663,-1.3813
90,속초,2014-12,-1.1307096774193548,-1.1810645161290323
90,속초,2015-01,-1.1498064516129032,-0.8630645161290322
90,속초,2015-02,-1.1543928571428572,-0.9821071428571428
90,속초,2015-03,-1.9777096774193548,-1.7654193548387098
90,속초,2015-04,-1.0045666666666666,-1.7644
90,속초,2015-05,-1.3202258064516128,-1.8710967741935483
90,속초,2015-06,-1.3603333333333334,-2.3015666666666665
90,속초,2015-07,-0.9497741935483871,-1.3864516129032258
90,속초,2015-08,-0.564,-1.1758064516129034
90,속초,2015-09,-1.0781999999999998,-1.6758
90,속초,2015-10,-1.7326774193548387,-2.4457419354838708
90,속초,2015-11,-0.4875,-0.9603
90,속초,2015-12,1.6170645161290322,0.11393548387096775
90,속초,2016-01,2.173967741935484,0.10170967741935484
90,속초,2016-02,0.581857142857143,0.092
90,속초,2016-03,-0.9563548387096774,0.9533548387096774
90,속초,2016-04,-0.6704666666666667,1.4549666666666667
90,속초,2016-05,-0.5758387096774193,0.15654838709677418
90,속초,2016-06,-0.8336333333333333,-1.2978999999999998
90,속초,2016-07,0.9111290322580645,0.5476451612903226
90,속초,2016-08,0.6129032258064516,0.3125483870967742
90,속초,2016-09,0.40990000000000004,0.04833333333333333
90,속초,2016-10,-0.6010322580645162,0.15235483870967742
90,속초,2016-11,-0.284,0.1755
90,속초,2016-12,0.08161290322580646,0.3479032258064516
90,속초,2017-01,0.6332258064516129,-0.33161290322580644
90,속초,2017-02,0.9686785714285715,0.13178571428571428
90,속초,2017-03,0.6259354838709678,0.3203870967741936
90,속초,2017-04,-0.33680000000000004,0.2967333333333333
90,속초,2017-05,-1.1913548387096775,0.03687096774193548
90,속초,2017-06,-0.9019999999999999,-0.26363333333333333
90,속초,2017-07,-0.5989354838709677,-0.8118064516129032
90,속초,2017-08,0.3564838709677419,-0.13596774193548386
90,속초,2017-09,0.29309999999999997,-0.1172
90,속초,2017-10,0.24096774193548387,-0.17519354838709678
90,속초,2017-11,-0.36469999999999997,0.09519999999999999
90,속초,2017-12,-0.3054516129032258,0.026193548387096775
90,속초,2018-01,-0.7060967741935483,-0.07270967741935484
90,속초,2018-02,-2.4572857142857143,-1.0726071428571429
90,속초,2018-03,-0.2224516129032258,-0.46216129032258063
90,속초,2018-04,0.3496666666666667,-0.23556666666666667
90,속초,2018-05,1.3946774193548388,0.1409032258064516
90,속초,2018-06,0.6525333333333333,0.3063333333333333
90,속초,2018-07,0.2932258064516129,0.38325806451612904
90,속초,2018-08,0.49606451612903224,0.9658387096774194
90,속초,2018-09,0.8255,0.9573333333333333
90,속초,2018-10,1.2440333333333333,1.151
90,속초,2018-11,1.4299,1.4730999999999999
90,속초,2018-12,1.6175806451612904,1.5565806451612902
90,속초,2019-01,0.9319032258064516,1.6424516129032256
90,속초,2019-02,-1.0097142857142856,1.1913214285714286
90,속초,2019-03,-1.317741935483871,0.9951612903225807
90,속초,2019-04,-0.657,0.49266666666666664
90,속초,2019-05,-0.8519354838709677,-1.1606451612903226
90,속초,2019-06,-0.49033333333333334,-1.1913333333333334
90,속초,2019-07,-0.7683870967741936,-1.0554838709677419
90,속초,2019-08,-0.10387096774193548,-0.4545161290322581
90,속초,2019-09,0.025,-0.22733333333333333
90,속초,2019-10,0.7535483870967742,0.2158064516129032
90,속초,2019-11,0.4553333333333333,0.24466666666666667
90,속초,2019-12,1.0835483870967744,0.6325806451612903
90,속초,2020-01,1.0,1.1209677419354838
90,속초,2020-02,1.540344827586207,1.1099999999999999
90,속초,2020-03,1.1129032258064515,1.3387096774193548
90,속초,2020-04,0.15633333333333332,0.7786666666666666
90,속초,2020-05,0.3751612903225806,1.3519354838709678
90,속초,2020-06,0.9296666666666666,1.256
90,속초,2020-07,1.9451612903225806,1.8206451612903225
90,속초,2020-08,2.391935483870968,2.363548387096774
90,속초,2020-09,2.533333333333333,2.666
90,속초,2020-10,1.8729032258064517,2.6474193548387097
90,속초,2020-11,0.6686666666666666,2.3556666666666666
90,속초,2020-12,-1.9496774193548387,2.0274193548387096
90,속초,2021-01,-2.5077419354838706,1.3116129032258064
90,속초,2021-02,-2.6182142857142856,-0.019642857142857136
90,속초,2021-03,-0.5170967741935484,-1.7003225806451614
90,속초,2021-04,0.197,-1.3719999999999999
90,속초,2021-05,1.0887096774193548,-0.25161290322580643
90,속초,2021-06,0.651,0.14733333333333334
90,속초,2021-07,-0.24483870967741936,-0.19
90,속초,2021-08,-0.9835483870967743,-0.3558064516129032
90,속초,2021-09,-1.157,-0.7766666666666667
90,속초,2021-10,-0.317741935483871,-0.48709677419354835
